"inventory_id";"snapshot_date";"warehouse_id";"product_id";"stock_on_hand";"reorder_point";"safety_stock";"inventory_value";"days_of_inventory";"snapshot_date_clean"
"INV000001";"2025-04-30";"W034";"P0152";"";185;73;22357035.2;286.8;"2025-04-30"
"INV000002";"2025-05-11";"W026";"P0206";"505";175;101;24093426.18;47.9;"2025-05-11"
"INV000003";"2023-12-10";"W007";"P0344";"826";104;56;17821542.05;44.9;"2023-12-10"
"INV000004";"2025-01-07";"W017";"P0340";"462";181;103;22050862.57;97.6;"2025-01-07"
"INV000005";"2023-08-21";"W043";"P0015";"685";159;96;32082095.54;63.6;"2023-08-21"
"INV000006";"2024-07-18";"W011";"P0327";"499";200;136;12908480.18;40.9;"2024-07-18"
"INV000007";"2025-12-11";"W011";"P0021";"252";173;111;4873666.92;237.3;"2025-12-11"
"INV000009";"2024-09-03";"W006";"P0473";"682";159;97;10172146.73;40.3;"2024-09-03"
"INV000010";"2023-11-29";"W043";"P0250";"0";78;43;0.0;0.0;"2023-11-29"
"INV000011";"2025-01-25";"W038";"P0206";"";175;89;20770409.62;33.1;"2025-01-25"
"INV000012";"2024-07-30";"W001";"P0066";"";87;54;5201319.52;57.8;"2024-07-30"
"INV000013";"2024-07-15";"W026";"P0453";"722";24;8;11546620.01;163.2;"2024-07-15"
"INV000014";"2023-11-01";"W012";"P0026";"590";61;21;3562630.34;31.6;"2023-11-01"
"INV000015";"2025-08-25";"W017";"P0286";"957";125;54;44185653.16;50.7;"2025-08-25"
"INV000016";"2024-09-11";"W035";"P0464";"15226";84;50;9588608.62;954.6;"2024-09-11"
"INV000017";"2023-10-15";"W048";"P0475";"454";40;16;21088993.48;166.6;"2023-10-15"
"INV000018";"2024-01-25";"W023";"P0385";"0";187;108;0.0;0.0;"2024-01-25"
"INV000019";"2023-01-09";"W024";"P0324";"846";39;15;37462808.79;50.6;"2023-01-09"
"INV000020";"2025-04-17";"W012";"P0278";"791";129;65;34213967.97;125.0;"2025-04-17"
"INV000021";"2025-05-22";"W016";"P0263";"252";45;23;8634587.72;13.0;"2025-05-22"
"INV000022";"2024-02-23";"W040";"P0460";"85";19;5;3971206.87;5.7;"2024-02-23"
"INV000023";"2023-10-21";"W031";"P0392";"628";102;44;31088160.0;124.7;"2023-10-21"
"INV000024";"2025-10-23";"W042";"P0248";"361";79;30;3086934.14;19.0;"2025-10-23"
"INV000025";"2024-09-07";"W004";"P0340";"303";181;74;13155463.18;23.7;"2024-09-07"
"INV000026";"2025-01-30";"W038";"P0037";"148";126;63;3369153.32;8.3;"2025-01-30"
"INV000028";"2023-09-24";"W002";"P0168";"248";101;70;11682939.5;65.9;"2023-09-24"
"INV000029";"2025-01-29";"W018";"P0118";"429";67;37;2872432.46;28.6;"2025-01-29"
"INV000031";"2023-04-17";"W012";"P0204";"239";89;33;434542.95;15.5;"2023-04-17"
"INV000032";"2025-03-02";"W039";"P0324";"0";39;17;0.0;0.0;"2025-03-02"
"INV000033";"2023-11-28";"W045";"P0438";"15072";44;14;243322553.25;1016.5;"2023-11-28"
"INV000034";"2024-01-04";"W032";"P0464";"7";84;38;310328.54;2.0;"2024-01-04"
"INV000035";"2024-12-18";"W046";"P0422";"922";183;90;11449654.6;87.3;"2024-12-18"
