"order_id";"order_date";"customer_id";"product_id";"warehouse_id";"supplier_id";"quantity_ordered";"unit_price";"unit_cost";"sales_amount";"cost_amount";"profit";"order_status";"shipping_days";"delivery_date";"order_date_clean";"delivery_date_clean";"rn";"missing_delivery_date_flag"
"ORD000001";"07/04/2024";"C01963";"P0401";"W020";"S0025";259;11321.73;9137.32;2932328.07;2366565.88;565762.19;"Delayed";"59";"05/06/2024";"2024-04-07";"2024-06-05";1;"No"
"ORD000002";"22/02/2024";"C02190";"P0047";"W006";"S0090";497;18355.12;13726.09;9122494.64;6821866.73;2300627.91;"Completed";"5";"27/02/2024";"2024-02-22";"2024-02-27";1;"No"
"ORD000003";"06-03-2024";"C00238";"P0487";"W037";"S0134";319;38802.22;31201.95;12377908.18;9953422.05;2424486.13;"Completed";"5";"";"2024-03-06";"";1;"Yes"
"ORD000004";"2024-09-13";"C01888";"P0362";"W023";"S0046";454;48674.62;28393.39;22098277.48;12890599.06;9207678.42;"Completed";"";"17/09/2024";"2024-09-13";"2024-09-17";1;"No"
"ORD000005";"16-03-2024";"C00804";"P0276";"W035";"S0017";106;4900.19;4223.3;519420.14;447669.8;71750.34;"Delayed";"50";"2024-05-05";"2024-03-16";"2024-05-05";1;"No"
"ORD000006";"12/06/2024";"C01898";"P0444";"W048";"S0062";198;6400.41;4527.14;1267281.18;896373.72;370907.46;"Completed";"2";"14-06-2024";"2024-06-12";"2024-06-14";1;"No"
"ORD000007";"17/04/2023";"";"P0431";"W006";"S0051";301;5125.16;4739.1;1542673.16;1426469.1;116204.06;"Completed";"2";"19-04-2023";"2023-04-17";"2023-04-19";1;"No"
"ORD000008";"25/05/2024";"C01843";"P0043";"W029";"S0137";171;17850.11;15559.75;3052368.81;2660717.25;391651.56;"Completed";"130";"2024-10-02";"2024-05-25";"2024-10-02";1;"No"
"ORD000009";"30/06/2023";"C01667";"P0344";"W048";"S0111";365;2420.26;1331.32;883394.9;485931.8;397463.1;"Completed";"5";"05/07/2023";"2023-06-30";"2023-07-05";1;"No"
"ORD000010";"01/05/2024";"C02450";"P0384";"W018";"";410;49398.27;40929.91;20253290.7;16781263.1;3472027.6;"Cancelled";"2";"03-05-2024";"2024-05-01";"2024-05-03";1;"No"
"ORD000011";"09-11-2023";"";"P0029";"W025";"S0024";214;4147.6;2914.73;887586.4;623752.22;263834.18;"Completed";"4";"13/11/2023";"2023-11-09";"2023-11-13";1;"No"
