"shipment_id";"order_id";"warehouse_id";"carrier_name";"dispatch_date";"delivery_date";"shipping_cost";"shipping_status";"dispatch_date_clean";"delivery_date_clean";"rn"
"SHP000001";"ORD001819";"W024";"Shadowfax";"2024-04-19";"2024-04-29";674.71;"Delivered";"2024-04-19";"2024-04-29";1
"SHP000002";"ORD002531";"W011";"Blue Dart";"2025-04-06";"";1875.76;"Lost";"2025-04-06";"";1
"SHP000003";"ORD009573";"W048";"Shadowfax";"2024-10-26";"2024-11-23";77.07;"Delivered";"2024-10-26";"2024-11-23";1
"SHP000004";"ORD002961";"W014";"DTDC";"2025-01-17";"2025-02-12";1721.69;"Delivered";"2025-01-17";"2025-02-12";1
"SHP000005";"ORD011512";"W033";"Ekart";"2023-03-24";"";175.33;"In Transit";"2023-03-24";"";1
"SHP000006";"ORD004853";"W029";"Shadowfax";"2023-07-03";"2023-07-08";347.11;"Delivered";"2023-07-03";"2023-07-08";1
"SHP000007";"ORD013846";"W020";"FedEx";"2024-10-20";"";969.11;"Lost";"2024-10-20";"";1
"SHP000008";"ORD004544";"W045";"";"2023-10-25";"2023-11-05";31737.24;"Delivered";"2023-10-25";"2023-11-05";1
"SHP000009";"ORD005283";"W041";"";"2025-10-17";"2025-10-30";60.24;"Delivered";"2025-10-17";"2025-10-30";1
"SHP000010";"ORD008536";"W025";"XpressBees";"2023-03-20";"2023-04-09";781.83;"Delivered";"2023-03-20";"2023-04-09";1
"SHP000011";"ORD010904";"W032";"Blue Dart";"2023-03-19";"2023-03-20";1906.54;"Delivered";"2023-03-19";"2023-03-20";1
"SHP000012";"";"W025";"FedEx";"2024-10-03";"";1247.24;"In Transit";"2024-10-03";"";1
"SHP000013";"ORD013720";"W018";"DTDC";"2024-11-29";"2024-12-09";247.78;"Delivered";"2024-11-29";"2024-12-09";1
"SHP000014";"ORD000458";"W032";"Ekart";"2025-08-31";"2025-09-16";1068.12;"Delivered";"2025-08-31";"2025-09-16";1
"SHP000015";"ORD006095";"W014";"Shadowfax";"2023-07-10";"";362.08;"In Transit";"2023-07-10";"";1
"SHP000016";"ORD005153";"W017";"Ekart";"2025-09-11";"2025-09-22";68946.98;"Delivered";"2025-09-11";"2025-09-22";1
"SHP000017";"ORD000275";"W029";"Ekart";"2024-03-15";"2024-03-21";1358.09;"Delivered";"2024-03-15";"2024-03-21";1
"SHP000018";"ORD003775";"W033";"Gati";"2024-02-05";"";703.09;"In Transit";"2024-02-05";"";1
"SHP000019";"";"W034";"Delhivery";"2023-06-02";"2023-06-06";565.83;"Delivered";"2023-06-02";"2023-06-06";1
"SHP000020";"ORD006935";"W040";"FedEx";"2024-08-25";"2024-09-21";630.61;"Delivered";"2024-08-25";"2024-09-21";1
"SHP000021";"ORD012805";"W017";"Ekart";"2024-08-04";"2024-08-22";1983.39;"Delivered";"2024-08-04";"2024-08-22";1
"SHP000022";"ORD008030";"W035";"XpressBees";"2023-02-01";"2023-02-10";1267.22;"Delivered";"2023-02-01";"2023-02-10";1
"SHP000023";"";"W050";"FedEx";"2025-03-04";"";67383.46;"In Transit";"2025-03-04";"";1
"SHP000024";"ORD003706";"W001";"";"2024-08-25";"2024-09-05";1712.79;"Delivered";"2024-08-25";"2024-09-05";1
"SHP000025";"ORD006144";"W013";"FedEx";"2024-12-27";"2025-01-04";1873.19;"Delivered";"2024-12-27";"2025-01-04";1
