supplier_id,supplier_name,supplier_city,supplier_state,supplier_rating,contract_start_date,on_time_delivery_rate,quality_score,supplier_status
S0001,Supplier_0001 Ltd,Pune,Maharashtra,4.3,2019-08-27,0.86,98.0,Active
S0002,Supplier_0002 Pvt Ltd,Surat,Gujarat,4.1,2019-10-14,0.98,68.8,Active
S0003,Supplier_0003 Pvt Ltd,Surat,Gujarat,1.6,2019-10-17,0.94,63.5,Active
S0004,Supplier_0004 Pvt Ltd,Chandigarh,Punjab,2.1,2019-06-10,0.86,61.9,Active
S0005,Supplier_0005 Pvt Ltd,Kolkata,West Bengal,4.5,2021-01-23,0.91,91.5,Active
S0006,Supplier_0006 Pvt Ltd,Surat,Gujarat,1.3,2019-10-15,0.55,73.7,Active
S0007,Supplier_0007 Pvt Ltd,Ahmedabad,Gujarat,3.2,2021-05-01,0.95,88.2,Active
S0008,Supplier_0008 Pvt Ltd,Ahmedabad,Gujarat,2.7,2019-01-25,0.78,97.0,Inactive
S0009,Supplier_0009 Pvt Ltd,Jaipur,Rajasthan,2.2,2021-01-30,0.58,74.4,Inactive
S0010,Supplier_0010 Pvt Ltd,Ahmedabad,Gujarat,3.6,2018-02-22,0.82,99.1,Active
S0011,Supplier_0011 Ltd,Kolkata,West Bengal,2.6,2018-07-06,0.69,74.8,Active
S0012,Supplier_0012 Pvt Ltd,Ahmedabad,Gujarat,1.2,2022-09-11,0.53,90.1,Active
S0013,Supplier_0013 Ltd,Lucknow,Uttar Pradesh,2.4,2021-04-22,0.53,75.5,Active
S0014,Supplier_0014 Ltd,Jaipur,Rajasthan,3.7,2019-04-28,0.54,96.1,Active
S0015,Supplier_0015 Ltd,Chandigarh,Punjab,4.6,2021-06-24,0.97,78.0,Active
S0016,Supplier_0016 Ltd,Bengaluru,Karnataka,1.5,2020-06-10,0.91,65.9,Active
S0017,Supplier_0017 Pvt Ltd,Surat,Gujarat,3.9,2021-02-13,0.66,71.0,Active
S0018,Supplier_0018 Pvt Ltd,Kolkata,West Bengal,3.5,2020-04-28,0.78,83.3,Active
S0019,Supplier_0019 Ltd,Delhi,Delhi,1.4,2019-12-06,0.63,86.2,Active
S0020,Supplier_0020 Pvt Ltd,Surat,Gujarat,,2021-05-31,0.7,75.8,Active
S0021,Supplier_0021 Pvt Ltd,Pune,Maharashtra,,2020-02-02,,92.7,Active
S0022,Supplier_0022 Pvt Ltd,Hyderabad,Telangana,3.0,2022-11-15,0.65,89.7,Active
S0023,Supplier_0023 Pvt Ltd,Pune,Maharashtra,3.4,2023-02-14,0.87,90.4,Inactive
S0024,Supplier_0024 Ltd,Pune,Maharashtra,1.6,2018-10-05,0.76,82.7,Active
S0025,Supplier_0025 Pvt Ltd,Bengaluru,Karnataka,1.8,2018-04-14,0.85,71.0,Inactive
S0026,Supplier_0026 Pvt Ltd,Kolkata,West Bengal,1.5,2021-05-01,0.98,79.0,Inactive
S0027,Supplier_0027 Ltd,Jaipur,Rajasthan,4.4,2018-07-05,0.69,66.5,Active
S0028,Supplier_0028 Pvt Ltd,Surat,Gujarat,3.6,2020-04-18,0.93,98.7,Active
S0029,Supplier_0029 Ltd,Lucknow,Uttar Pradesh,1.5,2019-04-04,0.9,72.2,Active
